"sess_name","behavior","frequency_in_sess","prop","total","date","site","run","dog","sess","handler","speed","temperature","humidity","radiation","ground"
"amigo_22.08.2022_5_1.csv","undesired",15,0.182926829268293,82,"22.08.2022","acre1",5,"amigo",1,"Uriel",0.85,34,53.19,758.7,51.32
"amigo_22.08.2022_5_1.csv","neutral",0,0,82,"22.08.2022","acre1",5,"amigo",1,"Uriel",0.85,34,53.19,758.7,51.32
"amigo_22.08.2022_5_1.csv","desired",67,0.817073170731707,82,"22.08.2022","acre1",5,"amigo",1,"Uriel",0.85,34,53.19,758.7,51.32
"amigo_22.08.2022_5_2.csv","desired",211,0.890295358649789,237,"22.08.2022","acre1",5,"amigo",2,"Uriel",0.85,34,53.19,758.7,51.32
"amigo_22.08.2022_5_2.csv","undesired",26,0.109704641350211,237,"22.08.2022","acre1",5,"amigo",2,"Uriel",0.85,34,53.19,758.7,51.32
"amigo_22.08.2022_5_2.csv","neutral",0,0,237,"22.08.2022","acre1",5,"amigo",2,"Uriel",0.85,34,53.19,758.7,51.32
"black_02.08.2022_4_1.csv","neutral",3,0.0185185185185185,162,"02.08.2022","acre1",4,"black",1,"Uriel",1.812,30.41,66.48,671.98,45.26
"black_02.08.2022_4_1.csv","undesired",46,0.283950617283951,162,"02.08.2022","acre1",4,"black",1,"Uriel",1.812,30.41,66.48,671.98,45.26
"black_02.08.2022_4_1.csv","desired",113,0.697530864197531,162,"02.08.2022","acre1",4,"black",1,"Uriel",1.812,30.41,66.48,671.98,45.26
"black_02.08.2022_4_2.csv","desired",91,0.827272727272727,110,"02.08.2022","acre1",4,"black",2,"Uriel",1.812,30.41,66.48,671.98,45.26
"black_02.08.2022_4_2.csv","undesired",19,0.172727272727273,110,"02.08.2022","acre1",4,"black",2,"Uriel",1.812,30.41,66.48,671.98,45.26
"black_02.08.2022_4_2.csv","neutral",0,0,110,"02.08.2022","acre1",4,"black",2,"Uriel",1.812,30.41,66.48,671.98,45.26
"black_03.11.2022_1_1.csv","undesired",267,0.40210843373494,664,"03.11.2022","acre1",1,"black",1,"Shaked",0.489,23.18,67.17,535.37,32.43
"black_03.11.2022_1_1.csv","desired",299,0.450301204819277,664,"03.11.2022","acre1",1,"black",1,"Shaked",0.489,23.18,67.17,535.37,32.43
