time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,in,fast
14,in,fast
15,in,fast
16,in,fast
17,in,fast
18,in,stop
19,in,fast
20,in,fast
21,in,fast
22,in,fast
23,in,fast
24,in,fast
25,in,fast
26,in,fast
27,in,fast
28,in,fast
29,in,fast
30,in,slow
31,in,slow
32,in,slow
33,in,slow
34,in,slow
35,in,slow
36,in,slow
37,in,slow
38,in,slow
39,in,slow
40,in,slow
41,in,slow
42,in,slow
43,in,slow
44,in,slow
45,in,slow
46,in,slow
47,in,stop
48,in,slow
49,in,slow
50,in,slow
51,in,slow
52,in,slow
53,in,focus
54,in,focus
55,in,slow
56,in,slow
57,in,slow
58,in,slow
59,in,slow
60,in,slow
61,in,focus
62,in,focus
63,in,focus
64,in,fast
65,in,fast
66,in,fast
67,in,fast
68,in,fast
69,in,fast
70,in,fast
71,in,fast
72,in,mark
73,in,mark
74,in,mark
75,in,mark
76,in,mark
77,in,mark
78,in,mark
79,in,between
80,in,mark
81,in,mark
82,in,mark
83,in,mark
