time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,stop
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,out,fast
31,out,fast
32,out,fast
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,fast
42,out,fast
43,out,fast
44,out,fast
45,out,fast
46,out,fast
47,out,fast
48,out,fast
49,out,fast
50,out,fast
51,out,fast
52,out,fast
53,out,focus
54,out,fast
55,out,fast
56,out,fast
57,out,fast
58,out,fast
59,out,fast
60,out,focus
61,out,focus
62,out,slow
63,out,slow
64,out,slow
65,out,focus
66,out,slow
67,out,slow
68,out,focus
69,out,focus
70,out,focus
71,out,focus
72,out,striving
73,out,striving
74,out,striving
75,out,striving
76,out,striving
77,out,striving
78,out,striving
79,out,striving
80,out,premark
81,out,premark
82,out,premark
83,out,mark
84,out,mark
85,out,mark
86,out,between
87,out,mark
88,out,mark
89,out,mark
90,out,mark
91,out,mark
92,out,mark
93,out,mark
94,out,mark
95,out,between
96,out,mark
97,out,mark
98,out,mark
99,out,mark
