time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,stop
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,slow
27,out,slow
28,out,slow
29,out,slow
30,out,slow
31,out,slow
32,out,slow
33,out,slow
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,fast
42,out,focus
43,out,focus
44,out,focus
45,out,focus
46,out,focus
47,out,focus
48,out,striving
49,out,striving
50,out,premark
51,out,mark
52,out,mark
53,out,mark
54,out,mark
55,out,mark
56,out,mark
57,out,mark
58,out,mark
59,out,mark
60,out,mark
61,out,mark
62,out,mark
63,out,back_to_op
