time,where,behavior
3,out,fast
4,out,distraction
5,out,distraction
6,out,distraction
7,out,fast
8,out,fast
9,out,fast
10,out,fast
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,out,fast
31,out,fast
32,out,fast
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,out_of_site
42,out,out_of_site
43,out,out_of_site
44,out,out_of_site
45,out,out_of_site
46,out,back_to_op
47,out,back_to_op
48,out,back_to_op
49,out,back_to_op
50,out,back_to_op
51,out,back_to_op
52,out,back_to_op
53,out,fast
54,out,fast
55,out,fast
56,out,fast
57,out,focus
58,out,slow
59,out,slow
60,out,slow
61,out,slow
62,out,slow
63,out,slow
64,out,slow
65,out,slow
66,out,slow
67,out,slow
68,out,slow
69,out,slow
70,out,fast
71,out,fast
72,out,fast
73,out,fast
74,out,fast
75,out,stop
76,out,fast
77,out,fast
78,out,fast
79,out,fast
80,out,fast
81,out,distraction
82,out,distraction
83,out,distraction
84,out,distraction
85,out,distraction
86,out,distraction
87,out,distraction
88,out,distraction
89,out,distraction
90,out,distraction
91,out,fast
92,out,fast
93,out,fast
94,out,focus
95,out,slow
96,out,slow
97,out,slow
98,out,slow
99,out,slow
100,out,slow
101,out,slow
102,out,slow
103,out,stop
104,out,fast
105,out,fast
106,out,fast
107,out,fast
108,out,fast
109,out,fast
110,out,focus
111,out,fast
112,out,fast
113,out,fast
114,out,fast
115,out,fast
116,out,fast
117,out,fast
118,out,focus
119,out,fast
120,out,fast
121,out,fast
122,out,fast
123,out,fast
124,out,fast
125,out,fast
126,out,fast
127,out,fast
128,out,fast
129,out,fast
130,out,fast
131,out,fast
132,out,fast
133,out,fast
134,out,fast
135,out,fast
136,out,fast
137,out,fast
138,out,fast
139,out,fast
140,out,fast
141,out,fast
142,out,fast
143,out,focus
144,out,focus
145,out,focus
146,out,focus
147,out,focus
148,out,slow
149,out,slow
150,out,slow
151,out,slow
152,out,slow
153,out,striving
154,out,striving
155,out,striving
156,out,striving
157,out,striving
158,out,striving
159,out,striving
160,out,striving
161,out,striving
162,out,striving
163,out,striving
164,out,striving
165,out,striving
166,out,striving
167,out,striving
168,out,striving
169,out,striving
170,out,striving
171,out,striving
172,out,striving
173,out,striving
174,out,striving
175,out,striving
176,out,striving
177,out,striving
178,out,striving
179,out,striving
180,out,striving
181,out,mark
182,out,mark
183,out,mark
184,out,striving
185,out,striving
186,out,mark
187,out,mark
188,out,mark
189,out,mark
190,out,mark
191,out,mark
192,out,mark
193,out,stop
194,out,striving
195,out,striving
196,out,striving
197,out,stop
198,out,stop
199,out,mark
200,out,mark
201,out,mark
202,out,mark
203,out,mark
