time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,stop
10,out,stop
11,out,fast
12,out,fast
13,out,fast
14,out,stop
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,out,fast
31,out,fast
32,out,fast
33,out,fast
34,out,focus
35,out,fast
36,out,fast
37,out,fast
38,out,fast
39,out,fast
40,out,fast
41,out,fast
42,out,fast
43,out,fast
44,out,fast
45,out,fast
46,out,fast
47,out,fast
48,out,fast
49,out,fast
50,out,focus
51,out,focus
52,out,focus
53,out,fast
54,out,fast
55,out,fast
56,out,stop
57,out,stop
58,out,stop
59,out,stop
60,out,fast
61,out,stop
62,out,stop
63,out,fast
64,out,fast
65,out,fast
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,out,fast
71,out,fast
72,out,fast
73,out,fast
74,out,fast
75,out,fast
76,out,fast
77,out,focus
78,out,focus
79,out,focus
80,out,focus
81,out,focus
82,out,focus
83,out,focus
84,out,fast
85,out,fast
86,out,fast
87,out,fast
88,out,fast
89,out,fast
90,out,fast
91,out,fast
92,out,fast
93,out,fast
94,out,fast
95,out,fast
96,out,fast
97,out,focus
98,out,focus
99,out,fast
100,out,fast
101,out,fast
102,out,fast
103,out,fast
104,out,fast
105,out,fast
106,out,fast
107,out,fast
108,out,fast
109,out,stop
110,out,stop
111,out,fast
112,out,fast
113,out,fast
114,out,fast
115,out,fast
116,out,fast
117,out,fast
118,out,fast
119,out,fast
120,out,fast
121,out,fast
122,out,fast
123,out,fast
124,out,fast
125,out,fast
126,out,fast
127,out,fast
128,out,fast
129,out,premark
130,out,premark
131,out,premark
132,out,premark
133,out,premark
134,out,mark
135,out,mark
136,out,mark
137,out,mark
138,out,mark
139,out,mark
140,out,mark
141,out,mark
142,out,mark
143,out,mark
144,out,mark
145,out,mark
146,out,mark
147,out,mark
148,out,mark
149,out,mark
150,out,mark
151,out,mark
152,out,mark
153,out,mark
154,out,mark
155,out,mark
156,out,mark
157,out,mark
158,out,mark
159,out,mark
160,out,mark
161,out,mark
162,out,mark
163,out,mark
