time,where,behavior,
3,out,fast,
4,out,fast,
5,out,fast,
6,out,fast,
7,out,fast,
8,out,fast,
9,out,fast,
10,out,fast,
11,out,fast,
12,out,fast,
13,out,fast,
14,out,fast,
15,out,fast,
16,out,fast,
17,out,fast,
18,out,fast,
19,out,fast,
20,out,fast,
21,out,fast,
22,out,fast,
23,out,fast,
24,out,fast,
25,out,fast,
26,out,fast,
27,out,fast,
28,out,fast,
29,out,fast,
30,out,fast,
31,out,fast,
32,out,fast,
33,out,fast,
34,out,fast,
35,out,fast,
36,out,fast,
37,out,fast,
38,out,fast,
39,out,fast,
40,out,fast,
41,out,fast,
42,out,fast,
43,out,fast,
44,out,fast,
45,out,fast,
46,out,fast,
47,out,fast,
48,out,fast,
49,out,fast,
50,out,fast,
51,out,fast,
52,out,fast,
53,out,fast,
54,out,stop,
55,out,fast,
56,out,fast,
57,out,fast,
58,out,fast,
59,out,fast,
60,out,fast,
61,out,fast,
62,out,fast,
63,out,fast,
64,out,fast,
65,out,fast,
66,out,fast,
67,out,fast,
68,out,fast,
69,out,fast,
70,out,fast,
71,out,fast,
72,out,fast,
73,out,fast,
74,out,fast,
75,out,fast,
76,out,fast,
77,out,fast,
78,out,fast,
79,out,fast,
80,out,fast,
81,out,fast,
82,out,fast,
83,out,fast,
84,out,fast,
85,out,fast,
86,out,fast,
87,out,fast,
88,out,fast,
89,out,fast,
90,out,fast,
91,in,fast,
92,in,fast,
93,in,fast,
94,in,fast,
95,in,fast,
96,in,fast,
97,in,fast,
98,in,fast,
99,in,fast,
100,in,fast,
101,in,fast,
102,in,fast,
103,in,fast,
104,in,fast,
105,in,fast,
106,in,fast,
107,in,fast,
108,in,fast,
109,in,fast,
110,in,fast,
111,in,fast,
112,in,fast,
113,in,fast,
114,in,fast,
115,in,fast,
116,in,stop,
117,in,fast,
118,in,fast,
119,in,fast,
120,in,fast,
121,in,fast,
122,in,fast,
123,in,fast,
124,in,fast,
125,in,stop,
126,in,fast,
127,in,fast,
128,in,fast,
129,in,fast,
130,in,stop,
131,in,fast,
132,in,fast,
133,in,fast,
134,in,fast,
135,in,fast,
136,in,fast,
137,in,fast,
138,in,fast,
139,in,fast,
140,in,fast,
141,in,fast,
142,in,fast,
143,in,fast,
144,in,fast,
145,in,focus,
146,in,fast,
147,in,fast,
148,in,fast,
149,in,fast,
150,in,fast,
151,in,fast,
152,in,fast,
153,in,fast,
154,in,fast,
155,in,fast,
156,in,fast,
157,in,fast,
158,in,fast,
159,in,fast,
160,in,fast,
161,in,fast,
162,in,fast,
163,in,focus,
164,in,focus,
165,in,fast,
166,in,fast,
167,in,fast,
168,in,fast,
169,in,fast,
170,in,fast,
171,in,fast,
172,in,fast,
173,in,stop,
174,in,slow,
175,in,slow,
176,in,slow,
177,in,slow,
178,in,slow,
179,in,slow,
180,in,slow,
181,in,slow,
182,in,slow,
183,in,slow,
184,in,slow,
185,in,slow,
186,in,slow,
187,in,slow,
188,in,slow,
189,in,slow,
190,in,slow,
191,in,slow,
192,in,slow,
193,in,slow,
194,in,slow,
195,in,slow,
196,in,slow,
197,in,focus,
198,in,focus,
199,in,focus,
200,in,focus,
201,in,focus,
202,in,focus,
203,in,focus,
204,in,focus,
205,in,focus,
206,in,focus,
207,in,fast,
208,in,fast,
209,in,fast,
210,in,stop,
211,in,fast,
212,in,fast,
213,in,fast,
214,in,fast,
215,in,fast,
216,in,fast,
217,in,fast,
218,in,fast,
219,in,fast,
220,in,fast,
221,in,fast,
222,in,fast,
223,in,fast,
224,in,fast,
225,in,fast,
226,in,fast,
227,in,stop,
228,in,stop,
229,in,fast,
230,in,fast,
231,in,fast,
232,in,fast,
233,in,fast,
234,in,fast,
235,in,fast,
236,in,fast,
237,in,fast,
238,in,fast,
239,in,fast,
240,in,fast,
241,in,fast,
242,in,fast,
243,in,fast,
244,in,fast,
245,in,fast,
246,in,fast,
247,in,fast,
248,in,fast,
249,in,fast,
250,in,stop,
251,in,stop,
252,in,stop,
253,in,stop,
254,in,fast,
255,in,fast,
256,in,fast,
257,in,fast,
258,in,fast,
259,in,fast,
260,in,fast,
261,in,fast,
262,in,fast,
263,in,fast,
264,in,fast,
265,in,fast,
266,in,fast,
267,in,fast,
268,in,fast,
269,in,fast,
270,in,fast,
271,in,fast,
272,in,fast,
273,in,fast,
274,in,stop,
275,in,fast,
276,in,fast,
277,in,fast,
278,in,fast,
279,in,fast,
280,in,fast,
281,in,fast,
282,in,fast,
283,in,fast,
284,in,fast,
285,in,fast,
286,in,stop,
287,in,stop,
288,in,fast,
289,in,fast,
290,in,fast,
291,in,fast,
292,in,fast,
293,in,fast,
294,out,fast,
295,out,fast,
296,out,fast,
297,out,fast,
298,out,fast,
299,out,fast,
300,out,fast,
301,out,fast,
302,out,fast,
303,out,fast,
304,out,fast,
305,out,fast,
306,out,fast,
307,out,fast,
308,out,stop,
309,out,fast,
310,out,fast,
311,out,fast,
312,out,fast,
313,out,fast,
314,out,fast,
315,out,fast,
316,out,fast,
317,out,fast,
318,out,fast,
319,out,fast,
320,out,fast,
321,out,fast,
322,out,fast,
323,out,stop,
324,out,fast,
325,out,fast,
326,out,fast,
327,out,fast,
328,out,fast,
329,out,stop,
330,out,fast,
331,out,fast,
332,out,fast,
333,out,fast,
334,out,fast,
335,out,fast,
336,out,fast,
337,out,fast,
338,out,fast,
339,out,fast,
340,out,fast,
341,out,fast,
342,out,fast,
343,out,fast,
344,out,fast,
345,out,fast,
346,out,fast,
347,out,fast,
348,out,fast,
349,out,fast,
350,out,fast,
351,out,fast,
352,out,stop,
353,out,fast,
354,out,fast,
355,out,fast,
356,out,fast,
357,out,fast,
358,in,fast,
359,in,fast,
360,in,fast,
361,in,fast,
362,in,fast,
363,in,fast,
364,in,fast,
365,in,fast,
366,in,fast,
367,in,fast,
368,in,fast,
369,in,fast,
370,in,fast,
371,in,fast,
372,in,fast,
373,in,fast,
374,in,fast,
375,in,fast,
376,in,fast,
377,in,stop,
378,in,fast,
379,in,fast,
380,in,fast,
381,in,fast,
382,in,fast,
383,in,fast,
384,in,fast,
385,in,fast,
386,in,fast,
387,in,fast,
388,in,fast,
389,in,fast,
390,in,fast,
391,out,fast,
392,out,fast,
393,out,fast,
394,out,fast, 
395,out,fast,
396,out,fast,
397,out,fast,
398,out,stop,
399,out,stop,
400,out,stop,
401,out,stop,
402,out,fast,
403,out,fast,
404,out,fast,
405,out,fast,
406,out,fast,
407,out,fast,
408,out,fast,
409,out,fast,
410,out,fast,
411,out,fast,
412,out,fast,
413,out,stop,
414,out,stop,
415,out,stop,
416,out,stop,
417,out,stop,
418,out,fast,
419,out,fast,
420,out,fast,
421,out,fast,
422,out,fast,
423,out,fast,
424,out,fast,
425,out,fast,
426,out,fast,
427,out,fast,
428,out,fast,
429,out,fast,
430,out,fast,
431,out,focus,
432,out,stop,
433,out,stop,
434,out,stop,
435,out,stop,
436,out,stop,
437,out,stop,
438,out,stop,
439,out,stop,
440,out,stop,
441,out,stop,
442,out,stop,
443,out,stop,
444,out,stop,
445,out,slow,
446,out,slow,
447,out,slow,
448,out,slow,
449,out,slow,
450,out,slow,
451,out,slow,
452,out,slow,
453,out,slow,
454,out,slow,
455,out,slow,
456,out,slow,
457,out,slow,
458,out,stop,
459,out,stop,
460,out,stop,
461,out,stop,
462,out,stop,
463,out,stop,
464,out,stop,
465,out,stop,
466,out,slow,
467,out,slow,
468,out,slow,
469,out,slow,
470,out,slow,
471,out,slow,
472,out,slow,
473,out,slow,
474,out,slow,
475,out,slow,
476,out,slow,
477,out,slow,
478,out,slow,
479,out,slow,
480,out,slow,
481,out,slow,
482,out,slow,
483,out,slow,
484,out,slow,
485,out,slow,
486,out,slow,
487,out,slow,
488,out,slow,
489,out,slow,
490,out,slow,
491,out,slow,
492,out,slow,
493,out,slow,
494,out,slow,
495,out,slow,
496,out,focus,
497,out,slow,
498,out,slow,
499,out,slow,
500,out,slow,
501,out,slow,
502,out,slow,
503,out,slow,
504,out,slow,
505,out,slow,
506,out,slow,
507,out,slow,
508,out,slow,
509,out,slow,
510,out,slow,
511,out,slow,
512,out,slow,
513,out,slow,
514,out,slow,
515,out,stop,
516,out,slow,
517,out,slow,
518,out,slow,
519,out,slow,
520,out,slow,
521,out,slow,
522,out,slow,
523,out,slow,
524,out,slow,
525,out,stop,
526,out,stop,
527,out,stop,
528,out,stop,
529,out,fast,
530,out,fast,
531,out,fast,
532,out,fast,
533,out,fast,
534,out,fast,
535,out,fast,
536,out,fast,
537,out,fast,
538,out,fast,
539,out,fast,
540,out,fast,
541,out,fast,
542,out,fast,
543,out,fast,
544,out,fast,
545,out,fast,
546,out,fast,
547,out,fast,
