time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,focus
10,out,focus
11,out,focus
12,out,focus
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,fast
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,out,fast
31,out,fast
32,in,fast
33,in,fast
34,in,fast
35,in,fast
36,in,fast
37,in,fast
38,in,fast
39,in,fast
40,in,focus
41,in,focus
42,in,focus
43,in,focus
44,in,focus
45,in,fast
46,in,fast
47,in,fast
48,out,fast
49,out,stop
50,out,stop
51,out,stop
52,out,stop
53,out,stop
54,out,focus
55,out,fast
56,out,fast
57,out,fast
58,out,fast
59,out,fast
60,out,fast
61,out,fast
62,out,fast
63,out,fast
64,out,fast
65,out,fast
66,out,fast
67,out,fast
68,in,fast
69,in,fast
70,in,fast
71,in,fast
72,in,fast
73,in,fast
74,out,fast
75,out,fast
76,out,fast
77,out,fast
78,out,fast
79,out,fast
80,out,fast
81,out,fast
82,out,fast
83,out,focus
84,out,focus
85,out,fast
86,out,fast
87,out,fast
88,out,fast
89,out,fast
90,out,fast
91,out,stop
92,out,fast
93,out,fast
94,out,fast
95,out,fast
96,out,fast
97,out,fast
98,out,fast
99,out,fast
100,out,fast
101,out,fast
102,out,fast
103,out,fast
104,out,fast
105,out,fast
106,out,fast
107,out,fast
108,in,fast
109,in,fast
110,in,fast
111,in,fast
112,in,fast
113,in,fast
114,in,stop
115,in,fast
116,in,fast
117,in,fast
118,in,fast
119,in,fast
120,in,fast
121,in,fast
122,in,fast
123,in,stop
124,in,stop
125,in,stop
126,in,fast
127,in,fast
128,in,fast
129,in,fast
130,in,stop
131,in,fast
132,in,fast
133,in,fast
134,in,fast
135,in,fast
136,in,fast
137,in,fast
138,in,fast
139,in,fast
140,in,fast
141,in,fast
142,in,fast
143,in,focus
144,in,focus
145,in,fast
146,in,fast
147,in,fast
148,in,fast
149,in,fast
150,in,fast
151,in,fast
152,in,fast
153,in,fast
154,in,fast
155,in,fast
156,in,fast
157,in,fast
158,in,focus
159,in,focus
160,in,fast
161,in,fast
162,in,fast
163,in,fast
164,in,fast
165,in,fast
166,in,fast
167,in,fast
168,in,fast
169,in,stop
170,in,fast
171,in,fast
172,in,fast
173,in,fast
174,out,fast
175,out,fast
176,out,fast
177,out,fast
178,out,fast
179,out,fast
180,out,fast
181,out,fast
182,out,fast
183,out,fast
184,out,focus
185,out,slow
186,out,slow
187,out,slow
188,out,slow
189,out,slow
190,out,slow
191,out,focus
192,out,slow
193,out,slow
194,out,slow
195,out,focus
196,out,fast
197,in,fast
198,in,fast
199,in,fast
200,in,fast
201,in,fast
202,in,fast
203,in,fast
204,in,fast
205,in,focus
206,in,fast
207,in,fast
208,in,fast
209,in,fast
210,in,fast
211,in,fast
212,in,fast
213,in,fast
214,in,fast
215,in,fast
216,in,fast
217,in,fast
218,in,fast
219,in,fast
220,in,fast
221,in,fast
222,in,fast
223,in,focus
224,in,stop
225,in,stop
226,in,stop
227,in,stop
228,in,stop
229,in,stop
230,in,stop
231,in,stop
232,in,stop
233,in,stop
234,in,stop
235,in,stop
236,in,stop
237,in,stop
238,in,premark
239,in,premark
240,in,mark
241,in,mark
242,in,mark
243,in,mark
244,in,mark
245,in,mark
246,in,mark
247,in,stop
248,in,stop
249,in,stop
250,in,stop
251,in,stop
252,in,stop
253,in,stop
254,in,stop
255,in,mark
256,in,mark
257,in,mark
258,in,mark
259,in,mark
260,in,stop
261,in,stop
262,in,stop
263,in,stop
264,in,stop
265,in,mark
266,in,mark
267,in,mark
268,in,mark
269,in,mark
270,in,mark
271,in,mark
272,in,mark
273,in,stop
274,in,stop
275,in,stop
276,in,stop
277,in,stop
278,in,stop
279,in,stop
280,in,stop
281,in,stop
282,in,stop
283,in,stop
284,in,stop
285,in,stop
286,in,mark
287,in,mark
288,in,mark
289,in,mark
290,in,mark
