time,where,behavior
3,out,fast
4,out,fast
5,out,fast
6,out,fast
7,out,fast
8,out,fast
9,out,fast
10,out,focus
11,out,fast
12,out,fast
13,out,fast
14,out,fast
15,out,fast
16,out,fast
17,out,fast
18,out,fast
19,out,fast
20,out,fast
21,out,fast
22,out,focus
23,out,fast
24,out,fast
25,out,fast
26,out,fast
27,out,fast
28,out,fast
29,out,fast
30,out,fast
31,out,fast
32,out,fast
33,out,fast
34,out,fast
35,out,fast
36,out,fast
37,out,stop
38,out,fast
39,out,fast
40,out,fast
41,out,focus
42,out,fast
43,out,fast
44,out,fast
45,out,fast
46,out,fast
47,out,fast
48,out,fast
49,out,fast
50,out,fast
51,out,fast
52,out,fast
53,out,stop
54,out,fast
55,out,fast
56,out,fast
57,out,fast
58,out,stop
59,out,stop
60,out,stop
61,out,focus
62,out,focus
63,out,fast
64,out,fast
65,out,fast
66,out,fast
67,out,fast
68,out,fast
69,out,fast
70,out,stop
71,out,stop
72,out,stop
73,out,fast
74,out,fast
75,out,fast
76,out,fast
77,out,stop
78,out,stop
79,out,stop
80,out,stop
81,out,fast
82,out,fast
83,out,fast
84,out,fast
85,out,fast
86,out,fast
87,out,fast
88,out,fast
89,out,fast
90,out,fast
91,out,fast
92,out,fast
93,out,fast
94,out,fast
95,out,fast
96,out,fast
97,out,fast
98,out,fast
99,out,stop
100,out,fast
101,out,fast
102,out,fast
103,out,fast
104,out,stop
105,out,stop
106,out,stop
107,out,stop
108,out,stop
109,out,stop
110,out,stop
111,out,stop
112,out,fast
113,out,fast
114,out,fast
115,out,fast
116,out,fast
117,out,fast
118,out,stop
119,out,fast
120,out,fast
121,out,fast
122,out,fast
123,out,fast
124,out,fast
125,out,fast
126,out,fast
127,out,fast
128,out,fast
129,out,fast
130,out,fast
131,out,stop
132,out,fast
133,out,fast
134,out,fast
135,out,fast
136,out,fast
137,out,fast
138,out,fast
139,out,fast
140,out,fast
141,out,fast
142,out,fast
143,out,fast
144,out,fast
145,out,fast
146,out,fast
147,out,fast
148,out,fast
149,out,fast
150,out,fast
151,out,fast
152,out,fast
153,out,fast
154,out,fast
155,out,fast
156,out,fast
157,out,fast
158,out,fast
159,out,stop
160,out,stop
161,out,fast
162,out,fast
163,out,stop
164,out,fast
165,out,fast
166,out,fast
167,out,fast
168,out,fast
169,out,fast
170,out,fast
171,out,fast
172,out,fast
173,out,fast
174,out,fast
175,out,fast
176,out,fast
177,out,fast
178,out,fast
179,out,fast
180,out,fast
181,out,fast
182,out,fast
183,out,fast
184,out,fast
185,out,fast
186,out,fast
187,out,fast
188,out,slow
189,out,slow
190,out,slow
191,out,slow
192,out,slow
193,out,slow
194,out,slow
195,out,slow
196,out,slow
197,out,slow
198,out,stop
199,out,stop
200,out,stop
201,out,stop
202,out,mark
203,out,mark
204,out,mark
205,out,mark
206,out,mark
207,out,mark
208,out,mark
209,out,mark
210,out,mark
211,out,mark
212,out,mark
213,out,between
214,out,between
215,out,between
216,out,mark
217,out,mark
218,out,mark
219,out,mark
220,out,mark
221,out,mark
222,out,mark
223,out,between
224,out,mark
225,out,mark
226,out,mark
227,out,mark
228,out,mark
229,out,mark
230,out,mark
231,out,mark
232,out,mark
233,out,mark
234,out,mark
235,out,between
236,out,between
237,out,mark
238,out,mark
239,out,mark
240,out,mark
241,out,premark
242,out,premark
243,out,premark
244,out,premark
245,out,mark
246,out,mark
247,out,mark
248,out,mark
249,out,mark
250,out,mark
251,out,mark
252,out,mark
253,out,mark
254,out,mark
255,out,mark
256,out,mark
257,out,mark
258,out,mark
259,out,mark
260,out,mark
261,out,mark
262,out,mark
263,out,mark
264,out,mark
265,out,mark
266,out,mark
267,out,mark
268,out,with_op
269,out,with_op
270,out,with_op
