date,site,run,dog,sess,handler,speed,temperature,humidity,radiation,ground
02.08.2022,acre1,1,tochka,1,Uriel,2.009,28.88,69.81,302.89,34.89
02.08.2022,acre1,1,tochka,2,Uriel,1.211,29.49,67.98,483.42,38.72
02.08.2022,acre1,2,gibor,1,Uriel,2.017,29.85,68.32,542.12,40.83
02.08.2022,acre1,2,gibor,2,Uriel,2.369,29.58,68.86,577.41,40.78
02.08.2022,acre1,3,chuck,1,Uriel,1.827,30.26,66.89,677.56,44.84
02.08.2022,acre1,3,chuck,2,Uriel,1.827,30.26,66.89,677.56,44.84
02.08.2022,acre1,4,black,1,Uriel,1.812,30.41,66.48,671.98,45.26
02.08.2022,acre1,4,black,2,Uriel,1.812,30.41,66.48,671.98,45.26
02.08.2022,acre1,5,freddy,1,Uriel,2.731,30.14,68.17,736.37,45.67
03.11.2022,acre1,1,black,1,Shaked,0.489,23.18,67.17,535.37,32.43
03.11.2022,acre1,2,freddy,1,Shaked,0.778,25.8,59.04,606.52,35.65
03.11.2022,acre1,2,freddy,2,Shaked,0.701,26.08,58.47,622.42,36.47
03.11.2022,acre1,3,choco,1,Shaked,0.818,26.17,58.22,649.71,37.31
03.11.2022,acre1,3,choco,2,Shaked,0.974,26.15,57.63,668.56,38.67
03.11.2022,acre1,4,hugo,1,Shaked,1.132,26.53,56.11,686.87,40.29
03.11.2022,acre1,4,hugo,2,Shaked,0.92,26.92,55.87,685.81,40.74
03.11.2022,acre1,5,gibor,1,Shaked,1.227,26.77,56.24,678.25,39.84
03.11.2022,acre1,5,gibor,2,Shaked,0.747,27.35,55.26,673.27,41.33
03.11.2022,acre1,6,tochka,1,Shaked,0.749,28.54,54.12,658.07,41.78
03.11.2022,acre1,6,tochka,2,Shaked,0.833,28.04,55.29,650.83,40.98
03.11.2022,acre1,7,chuck,1,Uriel,0.745,29.47,50.9,317.34,36.09
03.11.2022,acre1,7,chuck,2,Uriel,0.697,28.35,53.35,325.54,35.08
03.11.2022,acre1,8,black,1,Uriel,0.623,28.16,53.98,263.16,34.43
03.11.2022,acre1,8,black,2,Uriel,0.46,28.26,53.41,222.07,33.74
06.09.2022,hadasa1,1,choco,1,Uriel,2.3,29.45,65.71,681.53,38.58
06.09.2022,hadasa2,1,choco,2,Uriel,2.3,29.45,65.71,681.53,38.58
06.09.2022,hadasa1,2,hugo,1,Uriel,2.51,29.48,65.71,705.17,38.92
06.09.2022,hadasa2,2,hugo,2,Uriel,2.343,29.58,65.74,730.44,39.61
06.09.2022,hadasa2,3,freddy,1,Uriel,2.669,29.55,65.9,624.66,38.48
06.09.2022,hadasa1,3,freddy,2,Uriel,2.669,29.55,65.9,624.66,38.48
06.09.2022,hadasa1,4,black,1,Uriel,2.411,29.73,65.28,786.33,40.2
06.09.2022,hadasa2,4,black,2,Uriel,2.403,29.72,65.93,796.04,41.1
06.09.2022,hadasa2,5,chuck,1,Uriel,2.503,30.03,65.36,816.23,42
06.09.2022,hadasa1,5,chuck,2,Uriel,2.503,30.03,65.36,816.23,42
06.09.2022,hadasa2,6,gibor,1,Uriel,2.351,30.3,64.89,846.3,43.03
06.09.2022,hadasa1,6,gibor,2,Uriel,2.351,30.3,64.89,846.3,43.03
06.09.2022,hadasa1,7,choco,1,Uriel,2.709,29.71,65.99,796.78,39.94
06.09.2022,hadasa2,7,choco,2,Uriel,2.709,29.71,65.99,796.78,39.94
06.09.2022,hadasa2,8,hugo,1,Uriel,2.749,30.27,63.53,881.92,41.96
06.09.2022,hadasa1,8,hugo,2,Uriel,2.749,30.27,63.53,881.92,41.96
06.09.2022,hadasa2,10,black,1,Uriel,2.775,30.65,61.19,874.49,42.74
06.09.2022,hadasa1,10,black,2,Uriel,2.859,31.14,59.67,934.51,44.08
06.09.2022,hadasa1,11,chuck,1,Uriel,2.859,31.14,59.67,934.51,44.08
06.09.2022,hadasa2,11,chuck,2,Uriel,2.591,31.11,60.36,929.45,44.09
06.09.2022,hadasa1,12,gibor,1,Uriel,2.81,31.18,60.29,926.01,43.86
06.09.2022,hadasa2,12,gibor,2,Uriel,2.81,31.18,60.29,926.01,43.86
11.08.2022,acre1,1,hugo,1,Uriel,0.471,32.27,59.26,476.92,44.32
11.08.2022,acre1,1,hugo,2,Uriel,0.697,32.12,58.53,602.41,45.72
11.08.2022,acre1,2,choco,1,Uriel,0.818,31.74,60.94,636.74,47.33
11.08.2022,acre1,2,choco,2,Uriel,1.04,31.44,61.02,672.51,48.33
11.08.2022,acre1,3,freddy,1,Uriel,0.712,32.24,59.9,731.11,50.97
11.08.2022,acre1,4,black,1,Uriel,0.532,34.62,54.78,967.05,59.44
11.08.2022,acre1,4,black,2,Uriel,0.573,35.04,53.87,974.56,60.15
11.08.2022,acre1,5,chuck,1,Uriel,0.677,35.23,52.84,950.28,59.79
11.08.2022,acre1,5,chuck,2,Uriel,0.677,35.23,52.84,950.28,59.79
13.09.2022,acre1,1,tochka,1,Shaked,1.625,30.37,64.12,692.78,46.11
13.09.2022,acre1,1,tochka,2,Shaked,1.862,30.26,63.76,721.43,46.43
13.09.2022,acre1,2,chuck,1,Shaked,1.897,30.77,63.27,775.64,48.82
13.09.2022,acre1,2,chuck,2,Shaked,2.068,30.82,63.47,793.56,48.99
13.09.2022,acre1,3,freddy,1,Shaked,2.35,31.09,62.45,841.66,50.78
13.09.2022,acre1,3,freddy,2,Shaked,2.249,31.31,61.41,862.85,51.64
13.09.2022,acre1,4,hugo,1,Shaked,11.89,31.69,60.39,877.62,52.76
13.09.2022,acre1,4,hugo,2,Shaked,11.96,32.1,59.92,886.9,53.83
13.09.2022,acre1,5,gibor,1,Uriel,420.6,33.42,53.56,825.3,54.45
13.09.2022,acre1,5,gibor,2,Uriel,410.4,34.22,51.85,767.48,52.36
